Země,Prokliky,Zobrazení,CTR,Pozice
Česko,46,719,6.4%,10.23
Indonésie,1,1,100%,10
USA,0,66,0%,6.35
Slovensko,0,11,0%,3.55
Německo,0,6,0%,6.67
Kazachstán,0,5,0%,51
Rakousko,0,3,0%,6.67
Malta,0,3,0%,10
Malajsie,0,2,0%,1
Španělsko,0,2,0%,3.5
Polsko,0,2,0%,5
Dánsko,0,2,0%,5.5
Brazílie,0,2,0%,48.5
Kyrgyzstán,0,2,0%,73.5
Švýcarsko,0,1,0%,1
Írán,0,1,0%,2
Saúdská Arábie,0,1,0%,3
Dominikánská republika,0,1,0%,4
Turecko,0,1,0%,4
Ázerbájdžán,0,1,0%,5
Portugalsko,0,1,0%,5
Indie,0,1,0%,6
Spojené království,0,1,0%,7
Rumunsko,0,1,0%,7
Kostarika,0,1,0%,8
Itálie,0,1,0%,8
Ukrajina,0,1,0%,8
Řecko,0,1,0%,9
Madagaskar,0,1,0%,9
Mexiko,0,1,0%,9
Peru,0,1,0%,15
Nigérie,0,1,0%,26