Datum,Prokliky,Zobrazení,CTR,Pozice
2026-01-03,0,0,,
2026-01-04,0,3,0%,5
2026-01-05,0,3,0%,8.7
2026-01-06,0,3,0%,4.3
2026-01-07,0,0,,
2026-01-08,0,1,0%,3
2026-01-09,0,0,,
2026-01-10,0,0,,
2026-01-11,0,0,,
2026-01-12,0,3,0%,3
2026-01-13,0,0,,
2026-01-14,0,2,0%,7.5
2026-01-15,0,0,,
2026-01-16,0,0,,
2026-01-17,0,0,,
2026-01-18,0,1,0%,4
2026-01-19,0,0,,
2026-01-20,0,0,,
2026-01-21,0,0,,
2026-01-22,0,0,,
2026-01-23,0,0,,
2026-01-24,0,0,,
2026-01-25,0,1,0%,50
2026-01-26,0,0,,
2026-01-27,0,1,0%,3
2026-01-28,0,0,,
2026-01-29,0,0,,
2026-01-30,0,4,0%,30
2026-01-31,0,0,,
2026-02-01,0,0,,
2026-02-02,0,0,,
2026-02-03,0,1,0%,3
2026-02-04,0,1,0%,9
2026-02-05,0,5,0%,1
2026-02-06,0,0,,
2026-02-07,0,0,,
2026-02-08,0,0,,
2026-02-09,0,0,,
2026-02-10,0,0,,
2026-02-11,0,1,0%,10
2026-02-12,0,0,,
2026-02-13,0,0,,
2026-02-14,0,0,,
2026-02-15,0,0,,
2026-02-16,0,0,,
2026-02-17,0,0,,
2026-02-18,0,0,,
2026-02-19,0,0,,
2026-02-20,0,0,,
2026-02-21,0,0,,
2026-02-22,0,0,,
2026-02-23,0,0,,
2026-02-24,0,0,,
2026-02-25,0,1,0%,7
2026-02-26,0,3,0%,14.3
2026-02-27,0,1,0%,5
2026-02-28,0,0,,